"","orgao","objeto","fornecedor","valor"
"2498","FINANÇAS E DESENVOLVIMENTO ECONÔMICO","PRESTAÇÃO, PELA ECT, DE SERVIÇOS E VENDA DE PRODUTOS, QUE ATENDAM ÀS NECESSIDADES DA CONTRATANTE, MEDIANTE ADESÃO AO ANEXO DESTE INSTRUMENTO CONTRATUAL QUE, INDIVIDUALMENTE, CARACTERIZAM CADA MODALIDADE ENVOLVIDA.","CORREIOS",16800
"2499","SUBPREFEITURA: CAPELA DO SOCORRO","Contratação de empresa especializada de engenharia para execução de revitalização, com instalação de playground e aparelhos para ginástica em praça inominada, localizada na Rua Porto do Tejo, Jardim Cristal – São Paulo – S.P.","MATHESIS ENG. E CONSTRUÇÃO LTDA",97977.13
"2500","DIREITOS HUMANOS E CIDADANIA","CMDCA - Projeto “Estimulação - Letraviva” – Associação Morungaba.","Associação Morungaba",128460
"2501","SUBPREFEITURA: CAPELA DO SOCORRO","PRESTAÇÃO DE SERVIÇOS TECNICO DE MANEJO DE ARVORES","ERA TECNICA, ENG, CONSTR. E SERVIÇOS LT",12572.81
"2502","ESPORTES, LAZER E RECREAÇÃO","Celebração de Convênio para a realização do evento “1º Festival Esportivo da Zona Leste""","ACADEMIA BRASILEIRA DE MARKETING ESPORTIVO - ABRAE",274938.2
"2503","ESPORTES, LAZER E RECREAÇÃO","Celebração de Parceria para a realização de show artístico no “Baile  Comemorativo ao Dia Internacional do Idoso”","ALICE CARTA PROMOÇÕES S/S LTDA - ME",NA
"2504","ESPORTES, LAZER E RECREAÇÃO","Celebração de Convênio para a     Celebração de convênio para a realização do evento “I Copa da Paz – Juventude Contra o Crack ”","INSTITUTO ESPORTE E VIDA",30000
"2505","ESPORTES, LAZER E RECREAÇÃO","Celebração de Convênio para a realização do evento “I Copa de Futebol 7 – Juventude Contra o Crack”","INSTITUTO ESPORTE E VIDA",45000
"2506","ESPORTES, LAZER E RECREAÇÃO","Celebração de Convênio para a realização do evento “Projeto Esporte e Lazer na Praça”","ASSOCIAÇÃO PROJETO MEFIBOSETE",160032
"2507","ESPORTES, LAZER E RECREAÇÃO","Celebração de Convênio para a realização do evento “1º Simpósio Técnico de Karatê Kyokushin - 41º Exame de Faixas Pretas do Brasil”","ASSOCIAÇÃO DE KARATE KYOKUSHIN OYAMA MORUMBI",229807
"2508","ESPORTES, LAZER E RECREAÇÃO","Celebração de Convênio para a realização do evento “Corrida & Caminhada Natalina do Klabin”","Organização Desportiva e Cultural Olho do Futuro",129730
"2509","FUNDACAO THEATRO MUNICIPAL","Contratação de empresa especializada em prestação de serviços manutenção predial, conforme caderno técnico.","J.A SILVA CONSTRUÇÕES E MONTAGENS - ME",282600
"2510","FUNDACAO THEATRO MUNICIPAL","Contratação de empresa para fornecimento de água mineral, natural, sem gás, envasada em garrafões de 20 litros, para o Teatro Municipal e suas Unidades.","Brooklin Alimentos e Bebidas Ltda - EPP",4305.6
"2511","SEGURANÇA URBANA","CONTRATAÇÃO DE EMPRESA PARA A PRESTAÇÃO DE SERVIÇOS DE LOCAÇÃO DE VEÍCULOS AUTOMOTORES PARA USO DO EFETIVO EMPREGADO NO POLICIAMENTO AMBIENTAL DA GUARDA CIVIL METROPOLITANA NAS CONDIÇÕES E QUANTIDADES ESPECIFICADAS NO ANEXO I – TERMO DE REFERÊNCIA DO EDITAL","UNIDAS S/A",5076000
"2512","SERVIÇOS","Contratação de Serviços de Limpeza para os Quartéis do Comando   do Corpo de Bombeiros Metropolitano.","Gramaplan Com. e Serv. Ltda.",2957810.85
"2513","EMPRESA DE TECNOLOGIA DA INFORMAÇÃO E COMUNICAÇÃO","CONTRATAÇÃO DE EMPRESA ESPECIALIZADA NA PRESTAÇÃO DE SERVIÇOS DE MANUTENÇÃO PREVENTIVA/CORRETIVA DOS EQUIPAMENTOS DE REFRIGERAÇÃO DO COMPLEXO DATA CENTER","ACECO TI S/A",436787.36
"2514","SUBPREFEITURA: FREGUESIA-BRASILÂNDIA","OBJETO: Contratação de empresa, para prestação de serviços de LIMPEZA MANUAL DE GALERIAS, CÓRREGOS E CANAIS, através de equipes, conforme especificações técnicas - anexo III do Edital.","POTENZA ENGENHARIA E CONSTRUÇÃO LTDA.",477221.64
"2515","HOSPITAL DO SERVIDOR PÚBLICO MUNICIPAL","MANUTENÇÃO PREVENTIVA E CORRETIVA NO SISTEMA DE ACESSO","DIMAS DE MELO PIMENTA SISTEMAS DE PONTO E ACESSO L",14584.92
"2516","HOSPITAL DO SERVIDOR PÚBLICO MUNICIPAL","AQUISIÇÃO DE GÊNEROS ALIMENTÍCIOS.","COMERCIAL DE ALIMENTOS NUTRIVIP DO BRASIL LTDA.",1300
"2517","HOSPITAL DO SERVIDOR PÚBLICO MUNICIPAL","SERVIÇO DE MANUTENÇÃO","COMÉRCIO E IMPORTAÇÃO ERECTA LTDA.",63411.72
"2518","HOSPITAL DO SERVIDOR PÚBLICO MUNICIPAL","MATERIAL FARMACOLÓGICO","CRISTÁLIA PRODUTOS QUÍMICOS FARMACÊUTICOS LTDA.",170000
"2519","SAÚDE","Prestação de serviços de postagem pelo período de 12 (doze) meses para uso do Programa Remédio em Casa.","EMP BRAS CORREIOS TELÉGRAFOS – S P METROPOLITANA",1500000
"2520","SAÚDE","CONTRATAÇÃO DE EMPRESA ESPECIALIZADA PARA A PRESTAÇÃO DE SERVIÇOS DE APOIO DIAGNÓSTICO LABORATORIAL DE ANÁLISES CLÍNICAS, ANATOMIA PATOLÓGICA E CITOLOGIA, INCLUINDO O FORNECIMENTO DE TODOS OS ITENS NECESSÁRIOS PARA COLETA E TRANSPORTE DAS AMOSTRAS, PROCESSAMENTO DOS EXAMES E EMISSÃO E ENTREGA DO LAUDO TAIS COMO: MÃO-DE-OBRA, INSUMOS PARA COLETA DE EXAMES DE ACORDO COM A METODOLOGIA CONTRATADA, MATERIAIS DE CONSUMO E TRANSPORTE DAS AMOSTRAS DE ACORDO COM AS NORMAS DO SISTEMA ÚNICO DE SAÚDE - SUS PARA A REDE DE SAÚDE MUNICIPAL.","CIENTÍFICALAB PRODS LABORATORIAIS E SISTEMAS LTDA.",2882996.58
"2521","SAÚDE","CONTRATAÇÃO DE EMPRESA ESPECIALIZADA PARA A PRESTAÇÃO DE SERVIÇOS DE APOIO DIAGNÓSTICO LABORATORIAL DE ANÁLISES CLÍNICAS, ANATOMIA PATOLÓGICA E CITOLOGIA, INCLUINDO O FORNECIMENTO DE TODOS OS ITENS NECESSÁRIOS PARA COLETA E TRANSPORTE DAS AMOSTRAS, PROCESSAMENTO DOS EXAMES E EMISSÃO E ENTREGA DO LAUDO TAIS COMO: MÃO-DE-OBRA, INSUMOS PARA COLETA DE EXAMES DE ACORDO COM A METODOLOGIA CONTRATADA, MATERIAIS DE CONSUMO E TRANSPORTE DAS AMOSTRAS DE ACORDO COM AS NORMAS DO SISTEMA ÚNICO DE SAÚDE - SUS PARA A REDE DE SAÚDE MUNICIPAL.","AFIP – ASSOCIAÇÃO FUNDO DE INCENTIVO À PESQUISA",24736134.6
"2522","SAÚDE","Fornecimento de aparelhos de amplificação sonora individual","CENTRO AUDITIVO OTO SONIC COM EXP IMPORTAÇÃO LTDA.",275000
"2523","SAÚDE","Prestação de assistência à pessoa portadora de deficiência ocular e auditiva, que necessitem de reabilitação em regime ambulatorial, para atender a demanda submetida a regulação do Complexo Regulador Municipal.","INSTITUTO CEMA OFTALMOLOGIA E OTORRINOLARINGOLOGIA",11820381.72
"2524","SAÚDE","Prestação de serviços de atenção à saúde de nefrologia","ENESP EQUIPE NEFROLÓGICA DE SÃO PAULO LTDA.",7350190.08
"2525","SAÚDE","CONTRATAÇÃO DOS SERVIÇOS DE VIGILÂNCIA/SEGURANÇA PATRIMONIAL DESARMADA PARA UNIDADES DE SAÚDE LOCALIZADAS NA ÁREA DE ABRANGÊNCIA DA COORDENADORIA REGIONAL DE SAÚDE SUDESTE","ALBATROZ SEGURANÇA E VIGILÂNCIA LTDA",205213.1
"2526","SAÚDE","CONTRATAÇÃO DE EMPRESA ESPECIALIZADA EM PRESTAÇÃO DE SERVIÇO DE VIGILANCIA E SEGURANÇA PATRIMONIAL E VIGILANCIA ELETRONICA.","ALBATROZ SEGURANÇA E VIGILÂNCIA LTDA",37212.14
"2527","SAÚDE","Locação do imóvel sito na Rua dos Comerciarios, nº 236 – Cidade Vargas – São Paulo -SP, onde se encontra instalada a UBS Cidade Vargas, da Supervisão Técnica de Saúde Jabaquara/Vila Mariana.","ANTONIO CARLOS DA RELVA CALDEIRA",96000
"2528","SUBPREFEITURA: FREGUESIA-BRASILÂNDIA","Readequação de passeios em espaço publico nas Ruas José Siqueira Brito e Araci Chaves.","Construtora Gonçalez Nova Eirelli - EPP",358867.19
"2529","SAÚDE","CONTRATAÇÃO DE SERVIÇO DE MANUTENÇÃO PREVENTIVA E CORRETIVA DE AUTOCLAVES","VESTATECH EQUIPAMENTOS HOSPITALARES LTDA-EPP",352011.6
"2530","SAÚDE","CONTRATAÇÃO DE EMPRESA ESPECIALIZADA EM PRESTAÇÃO DE SERVIÇO DE LIMPEZA HOSPITALAR","COR LINE SISTEMAS DE SERVIÇOS LTDA",351914.07
"2531","SAÚDE","CONTRATAÇÃO DE SERVIÇO DE MANUTENÇÃO PREVENTIVA E CORRETIVA DE CÂMARA FRIA","KIMENZ EQUIPAMENTOS LTDA",14232
"2532","SAÚDE","Contratação de Empresa Especializada em Prestação de Serviço de Limpeza Hospitalar nas Unidades Básicas de Saúde","PLURI SERVIÇOS LTDA",210298.78
"2533","SAÚDE","Locação do imóvel sito na Rua Sampson, nº 61 – Brás, onde se encontra instalada a UBS “Dr. Manoel Saldiva Neto”, da Supervisão Técnica de Saúde Mooca.","MARIA SUZETE DE CASTRO, ELIEZER DE CASTRO E HELDER",56400
"2534","SAÚDE","Prestação do serviço de oxigenoterapia domiciliar prolongada","WHITE MARTINS GASES INDUSTRIAIS LTDA",1020368
"2535","EDUCAÇÃO","Ação Social Comunitária do Lageado “Joilson de Jesus” – CNPJ nº. 57.060.204/0001-35 - Celebração de convênio em continuidade","CEI PADRE JORGE",2252510
"2536","EDUCAÇÃO","Convênio Educação Especial – Grupo Brasil","GRUPO BRASIL DE APOIO AO SURDOCEGO E AO MÚLTIPLO D",401250
"2537","EDUCAÇÃO","Celebração de convênio","SHALOM – LIGA ISRAELITA DO BRASIL",241500
"2538","EDUCAÇÃO","Celebração de convênio","INSTITUIÇÃO BENEFICENTE NOSSO LAR",481500
"2539","EDUCAÇÃO","Celebração de convênio – Educação Especial","CAMINHANDO – NÚCLEO DE EDUCAÇÃO E AÇÃO SOCIAL",1123500
"2540","EDUCAÇÃO","Celebração de convênio","A ALTERNATIVA – ASSOCIAÇÃO DE ASSISTÊNCIA AO EXCEP",120375
"2541","SUBPREFEITURA: CAPELA DO SOCORRO","Contratação de empresa especializada de engenharia para construção de sede para o Centro Comunitário Jardim Sete de Setembro, localizada na Rua Carlos Alberto Bastos Machado com a Rua Saturnino Lopes de Moraes – Jardim Zilda – São Paulo – SP","MC ENGENHARIA E CONSTRUÇÕES LTDA",297592.51
"2542","SAÚDE","Gerenciamento, Operacionalização e Execução de ações de saúde a serem desenvolvidas na MICRORREGIÃO BUTANTÃ / JAGUARÉ.","FUNDAÇÃO FACULDADE DE MEDICINA - FFM",26647607.45
"2543","SUBPREFEITURA: CAPELA DO SOCORRO","Contratação de empresa especializada de engenharia para execução de reforma e adequação de pista de caminhada em torno do campo e instalação de aparelhos de ginástica para terceira idade no Clube da Comunidade Democrata, localizado na Rua José Bonifácio Filho, Vila São Benedito – São Paulo-SP.","CRM CONSTRUTORA LTDA",98970.17
"2544","SERVIÇO FUNERÁRIO","contratação de empresa especializada em prestação de serviços de locação, instalação e limpeza de sanitários qímicos móveis, modelos Standard e PNE para instalação nos Cemitérios Municipais nos dias 01 e 02/11/2014","SYSTEM SISTEMA ESPECIAL DE SANEAMENTO LTDA-EPP",20128.34
"2545","ASSISTÊNCIA E DESENVOLVIMENTO SOCIAL","SERVIÇO DE CONVIVÊNCIA E FORTALECIMENTO DE VÍNCULOS - SCFV – Modalidade CCA – CENTRO PARA CRIANÇAS e ADOLESCENTES","ASSOCIAÇÃO DE MULHERES DO JARDIM COLORADO",547180.08
"2546","ASSISTÊNCIA E DESENVOLVIMENTO SOCIAL","Serviço de acolhimento institucional para crianças e adolescentes na faixa etária de zero a 17 anos e 11 meses","CENTRO DE ASSISTÊNCIA E PROMOÇÃO SOCIAL NOSSO LAR",1385554.56
"2547","FINANÇAS E DESENVOLVIMENTO ECONÔMICO","Contratação de empresa especializada em prestação de serviço de transporte com veículos, incluindo motorista e combustível, de quilometragem livre, conforme Anexo I do Edital SF/CPL 05/2013.","SP LOCSERV LOCAÇÃO DE VEÍCULOS E SERVIÇOS GERAIS",391776
"2548","ASSISTÊNCIA E DESENVOLVIMENTO SOCIAL","SERVIÇO DE CONVIVÊNCIA E FORTALECIMENTO DE VÍNCULOS – MODALIDADE: Núcleo de Convivência de Idosos – SCFV - NCI","INSTITUTO SOCIAL SANTA LUCIA",355762.08
"2549","ASSISTÊNCIA E DESENVOLVIMENTO SOCIAL","SERVIÇO DE PROTEÇÃO SOCIAL ÀS CRIANÇAS E ADOLESCENTES VÍTIMAS DE VIOLÊNCIA – SPSCAVV","COORDENAÇÃO REG. DAS OBRAS DE PROM. HUMANA-CROPH",811367.84
"2550","ASSISTÊNCIA E DESENVOLVIMENTO SOCIAL","Serviço de Acolhimento Institucional para Crianças e Adolescentes na faixa etária de 0 a 17 anos e 11 meses","OBRA SOCIAL DOM BOSCO",NA
"2551","ESPORTES, LAZER E RECREAÇÃO","Hospedagem dos sistemas da SEME","EMPRESA DE TECNOLOGIA DA INFORMAÇÃO E COMUNICAÇÃO",4654523.22
"2552","CÂMARA MUNICIPAL","comercialização, em âmbito nacional, de produtos postais, de serviços postais, telemáticos e adicionais, nas modalidades nacional e internacional","ECT - EMPRESA BRASILEIRA DE CORREIOS E TELÉGRAFOS.",6495753.06
"2553","ASSISTÊNCIA E DESENVOLVIMENTO SOCIAL","Serviço de Acolhimento Institucional para Crianças e Adolescentes","ASSOCIAÇÃO BENEFICENTE CAMINHO D",NA
"2554","ASSISTÊNCIA E DESENVOLVIMENTO SOCIAL","CENTRO PARA CRIANÇAS DE 06 ANOS A 11 ANOS E 11 MESES E CENTRO PARA ADOLESCENTES DE 12 ANOS A 14 ANOS E 11 MESES","ASSOCIAÇÃO ASSISTENCIAL COMUNITÁRIA AZARIAS",NA
"2555","ESPORTES, LAZER E RECREAÇÃO","Celebração de Convênio para a realização do evento “Torneio Universitário de Rugby - 7”","INSTITUTO BRASILEIRO DO TERCEIRO SETOR",161779
"2556","ASSISTÊNCIA E DESENVOLVIMENTO SOCIAL","CENTRO PARA CRIANÇA DE 06 ANOS A 11 ANOS E 11 MESES E CENTRO PARA ADOLESCENTES D 12 A 14 ANOS E 11 MESES","CENTRO COMUNITÁRIO NOSSA SENHORA APARECIDA",NA
"2557","DIREITOS HUMANOS E CIDADANIA","CMDCA - Projeto “Acolhe” – INSTITUTO VIDA SÃO PAULO. - INSTITUTO VIDA SÃO PAULO","INSTITUTO VIDA SÃO PAULO",499346
"2558","SAÚDE","Gerenciamento e execução das atividades e serviços de saúde a serem desenvolvidos no HOSPITAL MUNICIPAL INFANTIL MENINO JESUS.","INSTITUTO DE RESPONSABILIDADE SOCIAL SÍRIO LIBANÊS",8413311
"2559","VERDE E MEIO AMBIENTE","Contratação de serviços de disponibilização de acesso à rede corporativa PMSP e acesso à internet para as unidades da Secretaria Municipal do Verde e do Meio Ambiente","PRODAM - SP - S/A",1466055.54
"2560","ASSISTÊNCIA E DESENVOLVIMENTO SOCIAL","Núcleo de Apoio à Inclusão Social para Pessoas com Deficiência II: de 7 a 14 anos.","NUCLEO DE APOIO SOC.AO CAMINH.DA ESPERANÇA-NASCE",11875.5
"2561","ASSISTÊNCIA E DESENVOLVIMENTO SOCIAL","COMPLEXO DE SERVIÇOS À POPULAÇÃO EM SITUAÇÃO DE RUA","ASSOCIAÇÃO ASSINDES SERMIG",116414.68
"2562","DIREITOS HUMANOS E CIDADANIA","CMDCA - Projeto “Ecosaberes – desenvolvimento sustentável dos conhecimentos” – Instituto Educadores Sem Fronteiras.","INSTITUTO EDUCADORES SEM FRONTEIRAS",331515
"2563","DIREITOS HUMANOS E CIDADANIA","CMDCA - Projeto “Acolhimento em Rede Zona Leste”- Associação Fazendo História.","ASSOCIAÇÃO FAZENDO HISTÓRIA",194118
"2564","DIREITOS HUMANOS E CIDADANIA","CMDCA - Projeto “SuperAção pelo Brincar”- Associação Aliança de Misericórdia. - ASSOCIAÇÃO ALIANÇA DE MISERICÓRDIA.","ASSOCIAÇÃO ALIANÇA DE MISERICÓRDIA",328362.24
"2565","EDUCAÇÃO","Associação Cultural Filhos da Senzala","CEI MUNDO DA FANTASIA",2588483.1
"2566","DIREITOS HUMANOS E CIDADANIA","CMDCA - Projeto “Música Popular Brasileira Futurong”- ONGF – Organização não governamental Futurong Ação Sócio-Cultural. -","ONGF ORGANIZAÇÃO NÃO GOVERNAMENTAL FUTURONG-AÇÃO S",159360
"2567","DIREITOS HUMANOS E CIDADANIA","CMDCA - Projeto “Aprendendo com Alegria” – Instituto Dom Bosco","INSTITUTO DOM BOSCO",35425.48
"2568","CÂMARA MUNICIPAL","Contratação de Instituição Financeira para prestação de serviços de movimentação das disponibilidades de caixa da Câmara Municipal de São Paulo, conforme descrições e condições constantes do Anexo I - Termo de Referência - Especificações Técnicas, parte integrante do Edital.","CAIXA ECONÔMICA FEDERAL",16200
"2569","DIREITOS HUMANOS E CIDADANIA","CMDCA - Projeto “Escolas em Rede”- Associação Cidade Escola Aprendiz.","ASSOCIAÇÃO CIDADE ESCOLA APRENDIZ",340050
"2570","DIREITOS HUMANOS E CIDADANIA","CMDCA - Projeto “ Traço de União”- Nova União da Arte - NUA","NOVA UNIÃO DA ARTE - NUA",284837.04
"2571","RELACOES INTERNACIONAIS E FEDERATIVAS","Contratação de empresa especializada em gerenciamento de abastecimento de combustível","NUTRICASH SERVIÇOS LTDA.",2866.26
"2572","DIREITOS HUMANOS E CIDADANIA","CMDCA - Projeto “Defendendo Direitos e Enfrentando a Violência”- Associação de Pais e Amigos dos Excepcionais – APAE DE SÃO PAULO.","ASSOCIAÇÃO DE PAIS E AMIGOS DOS EXCEPCIONAIS DE SÃ",786959.7
"2573","DIREITOS HUMANOS E CIDADANIA","CMDCA - Projeto “Cultura Audiovisual na Escola”- Instituto Criar de TV e Cinema - INSTITUTO CRIAR DE TV E CINEMA.","INSTITUTO CRIAR DE TV E CINEMA",296713.85
"2574","DIREITOS HUMANOS E CIDADANIA","CMDCA - Projeto “Caminhos para a Inclusão”- Associação de Pais e Amigos dos Excepcionais – APAE DE SÃO PAULO.","ASSOCIAÇÃO DE PAIS E AMIGOS DOS EXCEPCIONAIS DE SÃ",1270028.36
"2575","SAÚDE","Fornecimento de alimentação para pacientes internados, acompanhantes legalmente instruídos, residentes voluntários, acadêmicos e visitas autorizadas pela administração do Hospital Municipal Maternidade Escola Dr. Mário Altenfelder Silva por 90 dias.","CONVIDA REFEIÇÕES LTDA.",959810.43
"2576","DIREITOS HUMANOS E CIDADANIA","CMDCA Projeto “Bola pra Frente - Educação pelo Esporte, Arte e Cidadania” - Aldeia do Futuro - Associação para a Melhoria da Condição da População Carente.","ALDEIA DO FUTURO – ASSOCIAÇÃO PARA A MELHORIA DA C",158130
"2577","DIREITOS HUMANOS E CIDADANIA","CMDCA - Projeto “Sexualidade: Partilhando Ideias e Garantindo Direitos” – Fundação Gol de Letra.","Fundação Gol de Letra",115282.24
"2578","SAÚDE","Execução de serviços médicos hospitalares e ambulatoriais a serem prestados a qualquer indivíduo, na especialidade oncologia","Instituto do Câncer Arnaldo Vieira de Carvalho",2e+05
"2579","ASSISTÊNCIA E DESENVOLVIMENTO SOCIAL","SERVIÇO DE CONVIVÊNCIA E FORTALECIMENTO DE VÍNCULOS – MODALIDADE CCA","SOCIEDADE AMIGA E ESPORTIVA DO JARDIM COPACABANA",664932.32
"2580","INFRA-ESTRUTURA URBANA E OBRAS","REGISTRO DE PREÇOS PARA PRESTAÇÃO DE SERVIÇOS DE ELABORAÇÃO DE PLANTAS EXPROPRIATÓRIAS, REGISTRO CADASTRAL E AVALIAÇÃO PARA FINS DE DESAPROPRIAÇÃO DE IMÓVEIS DE INTERESSE DA PREFEITURA DO MUNICÍPIO DE SÃO PAULO.","CAPPE BRASIL ENGENHARIA LTDA",97067.04
"2581","ASSISTÊNCIA E DESENVOLVIMENTO SOCIAL","CENTRO PARA CRIANÇAS  DE 06 ANOS A 11 ANOS E 11 MESES E CENTRO PARA  ADOLESCENTES DE 12 ANOS A 14 ANOS E 11 MESES","CENTRO DE ASSISTÊNCIA E PROMOÇÃO SOCIAL NOSSO LAR",NA
"2582","INFRA-ESTRUTURA URBANA E OBRAS","REGISTRO DE PREÇOS PARA PRESTAÇÃO DE SERVIÇOS DE ELABORAÇÃO DE PLANTAS EXPROPRIATÓRIAS, REGISTRO CADASTRAL E AVALIAÇÃO PARA FINS DE DESAPROPRIAÇÃO DE IMÓVEIS DE INTERESSE DA PREFEITURA DO MUNICÍPIO DE SÃO PAULO.","GAB ENGENHARIA LTDA",113562.96
"2583","ASSISTÊNCIA E DESENVOLVIMENTO SOCIAL","Núcleo de Convivência de Idoso","MOVIMENTO COMUNITÁRIO DE VILA REMO",NA
"2584","ASSISTÊNCIA E DESENVOLVIMENTO SOCIAL","Centro de Referência e Defesa da Diversidade","GRUPO PELA VAL.,INT.E DIGN.DO DOENTE DE AIDS DE SP",7546.65
"2585","INFRA-ESTRUTURA URBANA E OBRAS","Contratação de empresa para a execução de serviços e obras, para a construção de escolas para educação fundamental e infantil, integrantes dos Lotes 1, 2, 3, 4, 7, 8, 9, 10, 11, 12, 14 e 15 inseridos no Programa de eliminação do 3º turno oriundos do processo de Pré-qualificação nº 002/10/SIURB","CONSÓRCIO FBS - VILLANOVA",53546676.54
"2586","FINANÇAS E DESENVOLVIMENTO ECONÔMICO","Contratação de empresa especializada na prestação de serviços de digitalização, custódia de documentos e de rolos de microfilmes e gestão informatizada de documentos.","DLM CONSULTORIA E INFORMÁTICA LTDA",200461.73
"2587","INFRA-ESTRUTURA URBANA E OBRAS","Reforma, recuperação e adequação da garagem em 02 (dois) pavimentos, em subsolo sob a Praça Franklin Roosvelt.","PAULITEC CONSTRUÇÕES LTDA",11887425.32
"2588","SUBPREFEITURA: VILA PRUDENTE","OBJETO: CONTRATAÇÃO DE EMPRESA ESPECIALIZADA em prestação de serviço de VIGILANCIA/SEGURANÇA PATRIMONIAL ARMADA, para a sede da Subprefeitura Vila Prudente/Sapopemba, nos termos do ANEXO II- Especificações Técnicas do objeto.","G4S VANGUARDA SEGURANÇA E VIGILÂNCIA LTDA",171048.33
"2589","SUBPREFEITURA: VILA PRUDENTE","prestação de serviços técnicos de manejo de árvores, através de equipes","G4S INTERATIVA SERVICE LTDA",395826
"2590","CÂMARA MUNICIPAL","Prestação de serviços de manutenção preventiva e assistência técnica corretiva na rede de tubulação, registro, torneiras para oxigênio utilizadas na SGA.8, com fornecimento anual de até 16  torpedos de oxigênio de 10 m3 com validade de teste hidrostático atualizado, e a realização de uma recarga anual em três torpedos pequenos com diferentes capacidades com validade de teste hidrostático atualizado, sendo tais torpedos pertencentes a SGA.8, como também, testes de precisão de vazão dos fluxômetros, de acordo com as condições e especificações constantes do Anexo I.","PELISERV EQUIPAMENTOS E SERVIÇOS ODONTO-MÉDICOS LT",6480
"2591","COMPANHIA DE ENGENHARIA DE TRAFEGO","PRESTAÇÃO DE SERVIÇOS DE DISTRIBUIÇÃO, INDIVIDUALIZAÇÃO E FORNECIMENTO DE VALE TRANSPORTE NA MODALIDADE INTERMUNICIPAL E MUNICIPAL (EXCETO SÃO PAULO).","VIA NOVA SERVIÇOS LTDA",1288966.37
"2592","GOVERNO MUNICIPAL","Apoio institucional para realização do evento 6 horas de São Paulo – Etapa Brasileira do Campeonato FIA World Endurance Championship (WEC).","ENDURANCE RACING EVENTOS LTDA - ME",7500000
"2593","GOVERNO MUNICIPAL","Aquisição de água mineral em garrafas de 510 ml, com e sem gás.","DRISERV EMPRESA DE MINERAÇÃO E FONTES DE ÁGUA",6570
"2594","GOVERNO MUNICIPAL","Contratação de empresa especializada para prestação de serviços de manutenção de Centrais de Informações Turísticas e ações de promoção e  execução correlatas","SÃO PAULO TURISMO S/A.",318520.03
"2595","CULTURA","Formalização de parceria com o DEC para realização de apresentação Teatral do grupo Trupe Ortaetica de Teatro Comunitário, Simbiose Teatral “Pedranolago”, no Teatro Alfredo Mesquita, dia 16 de outubro de 2014","TIAGO GERALDO DO NASCIMENTO",NA
"2596","INFRA-ESTRUTURA URBANA E OBRAS","Contratação de empresa especializada em prestação de serviço de vigilância, segurança patrimonial desarmada.","G4S VANGUARDA SEGURANÇA E VIGILÂNCIA LTDA",1860000
"2597","ESPORTES, LAZER E RECREAÇÃO","Celebração de Convênio para a realização do evento “Jogos Lecom 2014”","LIGA ATLÉTICA ACADÊMICA DA UNIVERSIDADE MACKENZIE",154260
"2598","ESPORTES, LAZER E RECREAÇÃO","Celebração de Convênio para a realização do evento “Recriança”.","ASSOCIAÇÃO DESPORTIVA KYOKUSHIN PEDREIRA",NA
"2599","ESPORTES, LAZER E RECREAÇÃO","Adesão a Ata de Registro de Preços para contratação de empresa especializada para execução da Caminhada da Família – Brooklin Fest","EM EMPRESARIAL LTDA - EPP",39403.48
"2600","COMPANHIA METROPOLITANA DE HABITAÇÃO","Contratação de empresa para execução dos serviços de roçada, capinação, remoção de entulho e construção de  muro tipo PMSP, no terreno da Rua Guilherme de Abreu Sodré, 1659 - Conjunto Habitacional  Prestes Maia – Guaianazes – São Paulo - SP.","REAGE CONSTRUÇÕES E COMÉRCIO LTDA. - EPP",NA
"2601","VERDE E MEIO AMBIENTE","CONTRATAÇÃO DE SERVIÇOS TÉCNICOS DE MANEJO E CONSERVAÇÃO DE PARQUES MUNICIPAIS DO GRUPO GUARAPIRANGA: PARQUE GUARAPIRANGA; PARQUE EUCALIPTOS; PARQUE NABUCO; PARQUE SANTO DIAS E PARQUE SEVERO GOMES, nos termos das especificações constantes no Termo de Referência - ANEXO I, elaborado pela Divisão Técnica de Gestão de Parques – DEPAVE 5, parte integrante deste edital, como se nele efetivamente tivesse sido transcrito e em conformidade com as demais disposições do ato convocatório.","DEMAX SERVIÇOS E COMÉRCIO LTDA",146130.58
"2602","VERDE E MEIO AMBIENTE","Contratação de empresa para a execução de serviços de locação e instalação de equipamento de PABX com as linhas, ramais, aparelhos telefônicos e demais acessórios de comunicação telefônica que se fizerem necessários, para a Divisão Técnica de Medicina Veterinária e Manejo da Fauna Silvestre - DEPAVE-3, em estrita conformidade com a descrição contida no ANEXO I – TERMO DE REFERÊNCIA, parte integrante do Edital.","CARSIF COMÉRCIO DE EQUIPAMENTOS LTDA-ME",1900
"2603","EDUCAÇÃO","Termo de convênio","CENTRO DE ATENDIMENTO EDUCACIOAL ESPECIALIZADO – C",47882.5
"2604","EDUCAÇÃO","Convênio Educação Especial","Associação Obras Sociais SANTA CRUZ",52323
